"activity_reference_key","activity_search_autocomplete","override_industry_guidance_label","activity_key","4 - WIDESPREAD","3 - SUBSTANTIAL","2 - MODERATE","1 - MINIMAL","RSHO","last_modified","primary_guidance","secondary_guidance"
"small-private-gatherings","Small private gatherings","","small-private-gatherings","Are allowed outdoors only with modifications<br>– Masks and physical distancing required<br>– No more than 3 separate households attend (including the host’s)<br>– Gatherings should be 2 hours or less<br>– Those with symptoms must not attend<br>– Those at high risk of severe illness strongly encouraged not to attend<br>– Singing, shouting, chanting, cheering, or exercising strongly discouraged","Are allowed outdoors and indoors with modifications<br>– Masks and physical distancing required<br>– No more than 3 separate households attend (including the host’s)<br>– Gatherings should be 2 hours or less<br>– Those with symptoms must not attend<br>– Those at high risk of severe illness strongly encouraged not to attend<br>– Singing, shouting, chanting, cheering, or exercising strongly discouraged outdoors and not permitted indoors","Are allowed outdoors and indoors with modifications<br>– Masks and physical distancing required<br>– No more than 3 separate households attend (including the host’s)<br>– Gatherings should be 2 hours or less<br>– Those with symptoms must not attend<br>– Those at high risk of severe illness strongly encouraged not to attend<br>– Singing, shouting, chanting, cheering, or exercising strongly discouraged outdoors and not permitted indoors","Are allowed outdoors and indoors with modifications<br>– Masks and physical distancing required<br>– No more than 3 separate households attend (including the host’s)<br>– Gatherings should be 2 hours or less<br>– Those with symptoms must not attend<br>– Those at high risk of severe illness strongly encouraged not to attend<br>– Singing, shouting, chanting, cheering, or exercising strongly discouraged outdoors and not permitted indoors","Closed","2021-03-02T02:03:00.000Z","gatherings-holidays","general-indoors, general-outdoors"
"sporting-goods-stores","Sporting goods stores","","sporting-goods-stores","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"state-local-government-offices","State and local government offices","","state-local-government-offices","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","office-workspaces","general-indoors, general-outdoors"
"swap-meets","Swap meets","","swap-meets","Can open with modifications<br>– Max 25% capacity<br>– Closed common areas <br>– Closed food courts","Can open with modifications<br>– Max 50% capacity <br>– Closed common areas <br>– Reduced capacity food courts (see Restaurants)","Can open with modifications<br>– Closed common areas <br>– Reduced capacity food courts (see Restaurants)","Can open with modifications<br>– Reduced capacity food courts (see Restaurants)","Can open indoors with modifications<br>– Max 20% capacity<br>– Closed common areas<br>Closed food courts","2021-03-02T02:03:00.000Z","shopping-centers","general-indoors, general-outdoors"
"swimming-pools","Swimming pools","Gyms and fitness centers - Outdoor recreation, including campgrounds and playgrounds - Hotels and lodging","swimming-pools","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","Can open outdoors with modifications. Drowning prevention classes, including swim lessons with certified instructors, are permitted indoors and outdoors.","2021-03-02T02:03:00.000Z","fitness, hotels-lodging-rentals, campgrounds-outdoor-recreation, swimming-pools","general-indoors, general-outdoors"
"synagogues","Synagogues","","synagogues","Can open indoors with modifications<br>– Indoor activities strongly discouraged<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","places-of-worship","general-indoors, general-outdoors"
"take-out-restaurants","Restaurants (take-out and delivery)","Restaurants","take-out-restaurants","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","2021-03-02T02:03:00.000Z","restaurants-bars-wineries","general-indoors, general-outdoors"
"tattoo-parlors","Tattoo parlors","Personal care services","tattoo-parlors","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"temples","Temples","","temples","Can open indoors with modifications <br>– Indoor activities strongly discouraged <br>– Max 25% capacity","Can open indoors with modifications<br>– Max 25% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open indoors with modifications<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","places-of-worship","general-indoors, general-outdoors"
"toy-stores","Toy stores","Retailers","toy-stores","Can open with modifications<br>– Max 25% capacity","Can open with modifications<br>– Max 50% capacity","Can open with modifications","Can open with modifications","Can open with modifications<br>– Max 20% capacity<br>– No food or beverages sold for onsite consumption","2021-03-02T02:03:00.000Z","retail","general-indoors, general-outdoors"
"transit-rail","Public transit and intercity passenger rail","","transit-rail","","","","","","2021-03-02T00:55:00.000Z","transit-rail","general-indoors, general-outdoors"
"weddings","Weddings","","weddings","Outdoor ceremonies permitted and recommended. Indoor ceremonies are strongly discouraged, but legally permitted with max capacity of 25%. Outdoor receptions permitted for up to three households, including host and guests. Food and beverages are not permitted.","Indoor ceremonies permitted with modifications. Outdoor and indoor receptions permitted for up to three households, including host and guests. Indoor receptions are strongly discouraged. Food and beverages are not permitted.<br>– Max 25% capacity","Indoor ceremonies permitted with modifications. Outdoor and indoor receptions permitted for up to three households, including host and guests. Indoor receptions are strongly discouraged. <br>– Max 50% capacity","Indoor ceremonies permitted with modifications. Outdoor and indoor receptions permitted for up to three households, including host and guests. Indoor receptions are strongly discouraged. <br>– Max 50% capacity","Outdoors only with modifications","2021-03-02T02:04:00.000Z","places-of-worship","general-indoors, general-outdoors"
"wineries","Wineries and tasting rooms","","wineries","Can open outdoors only with modifications","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 25% capacity indoors, or 100 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity or 200 people indoors, whichever is fewer","Closed for on-site consumption. May continue with production, manufacturing, distribution, and retail sale for off-site consumption.","2021-03-02T02:04:00.000Z","wineries","general-indoors, general-outdoors"
"yoga-studios","Yoga studios","","yoga-studios","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 10% capacity","Can open indoors with modifications<br>– Max 25% capacity<br>– +Indoor pools","Can open indoors with modifications<br>– +Saunas<br>– +Spas<br>– +Steam rooms<br>– Max 50% capacity","Can open outdoors only with modifications","2021-03-02T02:03:00.000Z","fitness","general-indoors, general-outdoors"
"youth-sports","Youth and adult recreational sports","","youth-sports","Some outdoor low-contact sports permitted. Higher-contact outdoor sports may be permitted, subject to additional requirements.&nbsp;<a href=""https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/outdoor-indoor-recreational-sports.aspx"">See list</a>.","Some outdoor moderate-contact sports permitted. Higher-contact outdoor sports may be permitted, subject to additional requirements. <a href=""https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/outdoor-indoor-recreational-sports.aspx"">See list</a>. ","Some outdoor high-contact sports allowed, and some indoor low-contact sports permitted. <a href=""https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/outdoor-indoor-recreational-sports.aspx"">See list</a>.","Some indoor moderate-contact sports allowed, and some indoor high-contact sports permitted. <a href=""https://www.cdph.ca.gov/Programs/CID/DCDC/Pages/COVID-19/outdoor-indoor-recreational-sports.aspx"">See list</a>.","Outdoor physical conditioning and practice permitted with 6 feet of physical distancing from others.","2021-03-02T02:03:00.000Z","youth-sports","general-indoors, general-outdoors"
"zoos","Zoos","","zoos","Can open outdoors only with modifications","Can open indoors with modifications<br>– Indoor activities max 25% capacity","Can open indoors with modifications<br>– Indoor activities max 50% capacity","Can open indoors with modifications","Closed","2021-03-02T02:03:00.000Z","zoos-museums","general-indoors, general-outdoors"
"zoos-museums-aquariums","Museums, zoos, and aquariums","","zoos-museums-aquariums","","","","","","2021-03-02T00:55:00.000Z","zoos-museums","general-indoors, general-outdoors"
"cardrooms-racetracks","Cardrooms and racetracks","","cardrooms-racetracks","","","","","","2021-03-02T00:55:00.000Z","cardrooms-racetracks, outdoor-cardrooms","general-indoors, general-outdoors"
"expanded-personal-care-services","Expanded Personal Care Services","Personal care services","expanded-personal-care-services","","","","","","2021-03-02T02:16:00.000Z","expanded-personal-care-services","general-indoors, general-outdoors"
"limited-services","Limited services","","limited-services","","","","","","2021-03-02T00:55:00.000Z","limited-services","general-indoors, general-outdoors"
"funeral homes","Funeral homes","","funeral-homes","Outdoor ceremonies permitted and recommended. Indoor ceremonies are strongly discouraged, due to high risk of transmission, but legally permitted with max capacity of 25%. Food and beverages are not permitted.","Can open indoors with modifications<br>– Max 25% capacity, food and beverages are not permitted","Can open indoors with modifications<br>– Max 50% capacity","Can open indoors with modifications<br>– Max 50% capacity","Services held outdoors only with modifications","2021-03-02T02:29:00.000Z","","general-indoors, general-outdoors"
"restaurants-dine-in","Restaurants (dine-in)","Restaurants","restaurants-dine-in","Can open outdoors only with modifications","Can open indoors with modifications<br>– Max 25% capacity or 100 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity or 200 people, whichever is fewer","Can open indoors with modifications<br>– Max 50% capacity","Closed","2021-03-02T02:20:00.000Z","restaurants-bars-wineries","general-indoors, general-outdoors"
"ski-resorts","Ski resorts","","ski-resorts","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications <br>– No food or beverages sold for onsite consumption","2021-03-02T02:31:00.000Z","campgrounds-outdoor-recreation","general-indoors, general-outdoors"
"state-beaches","State beaches","","state-beaches","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications. On-site campgrounds are closed unless used for COVID-19 mitigation and containment measures, treatment measures, providing accommodation for essential workers or those displaced as a result of fire or other emergency, or providing housing solutions, including measures to protect homeless populations.","2021-03-02T02:25:00.000Z","","general-indoors, general-outdoors"
"state-forests","State forests","","state-forests","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications. On-site campgrounds are closed unless used for COVID-19 mitigation and containment measures, treatment measures, providing accommodation for essential workers or those displaced as a result of fire or other emergency, or providing housing solutions, including measures to protect homeless populations.","2021-03-02T02:25:00.000Z","","general-indoors, general-outdoors"
"state-managed-lakes-reservoirs","State-managed lakes and reservoirs","","state-managed-lakes-reservoirs","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications. On-site campgrounds are closed unless used for COVID-19 mitigation and containment measures, treatment measures, providing accommodation for essential workers or those displaced as a result of fire or other emergency, or providing housing solutions, including measures to protect homeless populations.","2021-03-02T02:25:00.000Z","","general-indoors, general-outdoors"
"state-parks","State parks","","state-parks","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications","Can open with modifications. On-site campgrounds are closed unless used for COVID-19 mitigation and containment measures, treatment measures, providing accommodation for essential workers or those displaced as a result of fire or other emergency, or providing housing solutions, including measures to protect homeless populations.","2021-03-02T02:25:00.000Z","","general-indoors, general-outdoors"
"theme-parks","Theme parks","","theme-parks","Closed","Closed","Smaller parks open with modifications<br>– 25% capacity or 500 people, whichever is fewer<br>– Outdoor attractions only<br>– In-county visitors only<br>– Reservations or advance tickets required","Larger parks open with modifications<br>– 25% capacity<br>– Reservations or advance tickets required","Closed","2021-03-02T02:25:00.000Z","amusement-theme-parks","general-indoors, general-outdoors"
